"chart_position.x","chart_date.x","song","artist","instance.x","time_on_chart.x","consecutive_weeks.x","previous_week.x","peak_position.x","worst_position.x","year.x","month.x","week.x","chart_position.y","chart_date.y","instance.y","time_on_chart.y","consecutive_weeks.y","previous_week.y","peak_position.y","worst_position.y","year.y","month.y","week.y","spotify_song_id","spotify_artist_id","genres","main_genres"
4,1959-10-10,"Sleep Walk","Santo & Johnny",1,12,11,3,1,95,1959,10,41,4,1959-10-10,1,12,11,3,1,95,1959,10,41,"0yK8sWD6cfrc7pGfaPIcZH","4hGjngc0tPOBwTgTPci3IK","space age pop, surf music","pop, rock"
6,1959-10-17,"Sleep Walk","Santo & Johnny",1,13,12,4,1,95,1959,10,42,4,1959-10-10,1,12,11,3,1,95,1959,10,41,"0yK8sWD6cfrc7pGfaPIcZH","4hGjngc0tPOBwTgTPci3IK","space age pop, surf music","pop, rock"
12,1959-10-24,"Sleep Walk","Santo & Johnny",1,14,13,6,1,95,1959,10,43,4,1959-10-10,1,12,11,3,1,95,1959,10,41,"0yK8sWD6cfrc7pGfaPIcZH","4hGjngc0tPOBwTgTPci3IK","space age pop, surf music","pop, rock"
20,1959-10-31,"Sleep Walk","Santo & Johnny",1,15,14,12,1,95,1959,10,44,4,1959-10-10,1,12,11,3,1,95,1959,10,41,"0yK8sWD6cfrc7pGfaPIcZH","4hGjngc0tPOBwTgTPci3IK","space age pop, surf music","pop, rock"
29,1959-11-07,"Sleep Walk","Santo & Johnny",1,16,15,20,1,95,1959,11,45,4,1959-10-10,1,12,11,3,1,95,1959,10,41,"0yK8sWD6cfrc7pGfaPIcZH","4hGjngc0tPOBwTgTPci3IK","space age pop, surf music","pop, rock"
57,1959-11-14,"Sleep Walk","Santo & Johnny",1,17,16,29,1,95,1959,11,46,4,1959-10-10,1,12,11,3,1,95,1959,10,41,"0yK8sWD6cfrc7pGfaPIcZH","4hGjngc0tPOBwTgTPci3IK","space age pop, surf music","pop, rock"
90,1959-11-21,"Sleep Walk","Santo & Johnny",1,18,17,57,1,95,1959,11,47,4,1959-10-10,1,12,11,3,1,95,1959,10,41,"0yK8sWD6cfrc7pGfaPIcZH","4hGjngc0tPOBwTgTPci3IK","space age pop, surf music","pop, rock"
1,1959-11-28,"Mack The Knife","Bobby Darin",1,15,14,1,1,59,1959,11,48,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
1,1959-12-05,"Mack The Knife","Bobby Darin",1,16,15,1,1,59,1959,12,49,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
3,1959-12-12,"Mack The Knife","Bobby Darin",1,17,16,1,1,59,1959,12,50,1,1959-11-28,1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, vocal jazz","classic_folk, pop, rock, jazz_blues"
